complaint,department,category,subcategory,severity,priority,urgency
స్ట్రీట్ లైట్లు వెలగడం లేదు Gachibowli Flyover లో చీకటిగా ఉంది దొంగతనాలు జరుగుతున్నాయి.,Electricity & Power,Power Infrastructure,Streetlight Outage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Main road divider broken and sharp metal protruding into traffic lane near Koti Women's College. Please send inspection team immediately.,Roads & Infrastructure,Road Maintenance,Road Divider,HIGH,HIGH,WITHIN 24 HOURS
Major commercial building fire raging on 3rd floor with people trapped inside at Madhapur Police Station junction.,Fire & Emergency Services,Fire & Disaster,Building Fire,CRITICAL,CRITICAL,IMMEDIATE
స్ట్రీట్ లైట్లు వెలగడం లేదు Lingampally Market లో చీకటిగా ఉంది దొంగతనాలు జరుగుతున్నాయి. Multiple residents have reported this problem.,Electricity & Power,Power Infrastructure,Streetlight Outage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Gachibowli Flyover మే ఖులా బోర్వెల్ గడ్డా బచ్చో కే ఖేల్నే కి జగహ్ పర్ హై తురంత్ బంద్ కియా జాయే. This has become an urgent public hazard.,Public Safety & Police,Civic Safety & Law,Open Borewell Pit,CRITICAL,CRITICAL,IMMEDIATE
"Public toilet facility choked, leaking sewage onto pavement near Madhapur Police Station junction. This has become an urgent public hazard.",Public Health & Sanitation,Sanitation & Hygiene,Public Toilet Blockage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Major commercial building fire raging on 3rd floor with people trapped inside at Nagole X Roads. This has become an urgent public hazard.,Fire & Emergency Services,Fire & Disaster,Building Fire,CRITICAL,CRITICAL,IMMEDIATE
Jubilee Hills Check Post మే నల్ సే గందా బద్బూదార్ పానీ ఆ రహా హై ఔర్ లోగ్ బీమార్ పడ్ రహే హై.,Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
Dead stray cattle carcass lying decaying near primary school gate in Banjara Hills Road No 12. Situation is deteriorating quickly.,Public Health & Sanitation,Sanitation & Hygiene,Animal Carcass,HIGH,HIGH,WITHIN 24 HOURS
Tarnaka Tarnaka signal కే పాస్ సడక్ పర్ గహరే గడ్డే హో గయే హై జిస్సే హాద్సే హో రహే హై. Pedestrians and daily commuters are suffering badly.,Roads & Infrastructure,Road Maintenance,Potholes,HIGH,HIGH,WITHIN 24 HOURS
"Deep open manhole without cover near school in Banjara Hills Road No 12, immediate risk of children falling in.",Water Supply & Sewerage,Water & Drainage,Open Manhole,CRITICAL,CRITICAL,IMMEDIATE
MG Road Metro Station కే పాస్ ఎల్‌పీజీ సిలిండర్ గోదామ్ సే గ్యాస్ లీకేజ్ హో రహా హై భయంకర పరిస్థితి. Multiple residents have reported this problem.,Fire & Emergency Services,Fire & Disaster,Gas Leakage,CRITICAL,CRITICAL,IMMEDIATE
Exposed electric meter junction box with bare sparking wires near park in Nagole X Roads. The municipal corporation needs to inspect and resolve this immediately.,Electricity & Power,Power Infrastructure,Exposed Meter Box,HIGH,HIGH,WITHIN 24 HOURS
Chemical tanker overturned leaking inflammable liquid on bypass road near Gachibowli Flyover. This has become an urgent public hazard.,Fire & Emergency Services,Fire & Disaster,Chemical Spill,CRITICAL,CRITICAL,IMMEDIATE
"Deep open manhole without cover near school in Begumpet Airport Road, immediate risk of children falling in.",Water Supply & Sewerage,Water & Drainage,Open Manhole,CRITICAL,CRITICAL,IMMEDIATE
Abandoned rusty vehicle loaded with scrap blocking bus bay near Jubilee Hills Check Post.,Public Safety & Police,Civic Safety & Law,Abandoned Vehicle,LOW,LOW,WITHIN 7 DAYS
"Speed breaker not painted with reflective lines near Secunderabad Railway Station, causing dangerous vehicle jumps. Multiple residents have reported this problem.",Roads & Infrastructure,Road Maintenance,Speed Breaker,LOW,LOW,WITHIN 7 DAYS
పార్కులో పిల్లల ఆట స్థలంలో పరికరాలు విరిగిపోయి ప్రమాదకరంగా ఉన్నాయి Dilsukhnagar Bus Depot లో.,Town Planning & Parks,Parks & Urban Planning,Damaged Playground,MEDIUM,MEDIUM,WITHIN 7 DAYS
Illegal encroachments blocking emergency fire tender access lane in Ameerpet Center market.,Public Safety & Police,Civic Safety & Law,Encroachment,MEDIUM,HIGH,WITHIN 3 DAYS
Hazardous biomedical hospital syringes and infected waste dumped openly in MG Road Metro Station plot.,Public Health & Sanitation,Sanitation & Hygiene,Biomedical Waste,CRITICAL,CRITICAL,IMMEDIATE
ట్రాఫిక్ సిగ్నల్ పనిచేయడం లేదు Alwal Main Road చౌరస్తాలో నిత్యం ప్రమాదాలు జరుగుతున్నాయి.,Public Safety & Police,Civic Safety & Law,Traffic Signal Failure,HIGH,VERY HIGH,WITHIN 24 HOURS
ఆసుపత్రి వ్యర్థాలు బయోమెడికల్ వేస్ట్ రోడ్డుపై పడేశారు Lingampally Market వద్ద తక్షణమే తొలగించాలి. The municipal corporation needs to inspect and resolve this immediately.,Public Health & Sanitation,Sanitation & Hygiene,Biomedical Waste,CRITICAL,CRITICAL,IMMEDIATE
Chemical tanker overturned leaking inflammable liquid on bypass road near Gachibowli Flyover. Please send inspection team immediately.,Fire & Emergency Services,Fire & Disaster,Chemical Spill,CRITICAL,CRITICAL,IMMEDIATE
Mehdipatnam Bus Stop కే పాస్ ట్రాన్స్‌ఫార్మర్ మే ఆగ్ లగ్ గయీ హై బడా ధమాకా హో సక్తా హై. Please send inspection team immediately.,Electricity & Power,Power Infrastructure,Transformer Fire,CRITICAL,CRITICAL,IMMEDIATE
రోడ్డుపై మ్యాన్‌హోల్ మూత లేకుండా తెరిచి ఉంది Charminar Main Bazaar వద్ద చాలా ప్రమాదకరం.,Water Supply & Sewerage,Water & Drainage,Open Manhole,CRITICAL,CRITICAL,IMMEDIATE
"Deep open manhole without cover near school in Nagole X Roads, immediate risk of children falling in.",Water Supply & Sewerage,Water & Drainage,Open Manhole,CRITICAL,CRITICAL,IMMEDIATE
Stagnant black drainage puddle breeding swarms of dengue mosquitoes near MG Road Metro Station.,Public Health & Sanitation,Sanitation & Hygiene,Mosquito Breeding,MEDIUM,MEDIUM,WITHIN 7 DAYS
Unsafe deep construction basement excavated without safety barricade or warning lights near Hitech City Mindspace. Pedestrians and daily commuters are suffering badly.,Public Safety & Police,Civic Safety & Law,Unsafe Construction,HIGH,HIGH,WITHIN 24 HOURS
"రోడ్డుపై పెద్ద గుంతలు పడ్డాయి MG Road Metro Station వద్ద, వాహనాలు తిరగడం కష్టంగా ఉంది.",Roads & Infrastructure,Road Maintenance,Potholes,MEDIUM,MEDIUM,WITHIN 3 DAYS
Madhapur Police Station junction కే పాస్ ఎల్‌పీజీ సిలిండర్ గోదామ్ సే గ్యాస్ లీకేజ్ హో రహా హై భయంకర పరిస్థితి.,Fire & Emergency Services,Fire & Disaster,Gas Leakage,CRITICAL,CRITICAL,IMMEDIATE
Lingampally Market కే పాస్ ట్రాన్స్‌ఫార్మర్ మే ఆగ్ లగ్ గయీ హై బడా ధమాకా హో సక్తా హై. Situation is deteriorating quickly.,Electricity & Power,Power Infrastructure,Transformer Fire,CRITICAL,CRITICAL,IMMEDIATE
"Streetlights not working for 2 weeks in Koti Women's College, complete dark stretch unsafe for women. Situation is deteriorating quickly.",Electricity & Power,Power Infrastructure,Streetlight Outage,MEDIUM,HIGH,WITHIN 3 DAYS
"Sewage manhole overflowing on street near Kukatpally Housing Board, black wastewater entering residences. The municipal corporation needs to inspect and resolve this immediately.",Water Supply & Sewerage,Water & Drainage,Sewage Overflow,HIGH,HIGH,WITHIN 24 HOURS
Major commercial building fire raging on 3rd floor with people trapped inside at MG Road Metro Station.,Fire & Emergency Services,Fire & Disaster,Building Fire,CRITICAL,CRITICAL,IMMEDIATE
Dilsukhnagar Bus Depot కే పాస్ కచరే కా ఢేర్ లగా హై ఔర్ బీమారియాన్ ఫైల్ రహి హై.,Public Health & Sanitation,Sanitation & Hygiene,Garbage Overflow,MEDIUM,MEDIUM,WITHIN 3 DAYS
స్ట్రీట్ లైట్లు వెలగడం లేదు Charminar Main Bazaar లో చీకటిగా ఉంది దొంగతనాలు జరుగుతున్నాయి.,Electricity & Power,Power Infrastructure,Streetlight Outage,MEDIUM,MEDIUM,WITHIN 3 DAYS
"Traffic signal non-functional at high-speed intersection in Begumpet Airport Road, regular near-fatal crashes.",Public Safety & Police,Civic Safety & Law,Traffic Signal Failure,HIGH,VERY HIGH,WITHIN 24 HOURS
Complete blackout in Secunderabad Railway Station sector affecting dialysis and oxygen patient homes. Kindly take strict and swift civic action.,Electricity & Power,Power Infrastructure,Power Outage,HIGH,VERY HIGH,IMMEDIATE
Encroachment on municipal park boundary by private builder fencing in RTC Cross Roads. Danger to public health and safety.,Town Planning & Parks,Parks & Urban Planning,Park Encroachment,MEDIUM,MEDIUM,WITHIN 7 DAYS
Street name boards missing or damaged throughout MG Road Metro Station residential layout. Kindly take strict and swift civic action.,Town Planning & Parks,Parks & Urban Planning,Signage Damage,LOW,LOW,ROUTINE
"డ్రింకింగ్ వాటర్ లో మురికి నీరు కలిసి వస్తోంది Gachibowli Flyover లో, ప్రజలు రోగాల బారిన పడుతున్నారు.",Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
స్ట్రీట్ లైట్లు వెలగడం లేదు Gachibowli Flyover లో చీకటిగా ఉంది దొంగతనాలు జరుగుతున్నాయి.,Electricity & Power,Power Infrastructure,Streetlight Outage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Lingampally Market కే పాస్ ట్రాన్స్‌ఫార్మర్ మే ఆగ్ లగ్ గయీ హై బడా ధమాకా హో సక్తా హై. This has become an urgent public hazard.,Electricity & Power,Power Infrastructure,Transformer Fire,CRITICAL,CRITICAL,IMMEDIATE
Gigantic illegal garbage dump burning toxic plastic smoke choking residents near Secunderabad Railway Station. Danger to public health and safety.,Public Health & Sanitation,Sanitation & Hygiene,Garbage Burning,HIGH,VERY HIGH,WITHIN 24 HOURS
Complete blackout in Nagole X Roads sector affecting dialysis and oxygen patient homes.,Electricity & Power,Power Infrastructure,Power Outage,HIGH,VERY HIGH,IMMEDIATE
ఆసుపత్రి వ్యర్థాలు బయోమెడికల్ వేస్ట్ రోడ్డుపై పడేశారు Gachibowli Flyover వద్ద తక్షణమే తొలగించాలి.,Public Health & Sanitation,Sanitation & Hygiene,Biomedical Waste,CRITICAL,CRITICAL,IMMEDIATE
"Drinking water pipe burst near Mehdipatnam Bus Stop, thousands of liters of clean water flooding road. This has become an urgent public hazard.",Water Supply & Sewerage,Water & Drainage,Pipeline Burst,HIGH,HIGH,WITHIN 24 HOURS
"Drinking water pipe burst near Dilsukhnagar Bus Depot, thousands of liters of clean water flooding road. Multiple residents have reported this problem.",Water Supply & Sewerage,Water & Drainage,Pipeline Burst,HIGH,HIGH,WITHIN 24 HOURS
Dead stray cattle carcass lying decaying near primary school gate in Gachibowli Flyover. Multiple residents have reported this problem.,Public Health & Sanitation,Sanitation & Hygiene,Animal Carcass,HIGH,HIGH,WITHIN 24 HOURS
"Streetlights not working for 2 weeks in Jubilee Hills Check Post, complete dark stretch unsafe for women. Situation is deteriorating quickly.",Electricity & Power,Power Infrastructure,Streetlight Outage,MEDIUM,HIGH,WITHIN 3 DAYS
"Sewage manhole overflowing on street near Banjara Hills Road No 12, black wastewater entering residences. Multiple residents have reported this problem.",Water Supply & Sewerage,Water & Drainage,Sewage Overflow,HIGH,HIGH,WITHIN 24 HOURS
Abandoned rusty vehicle loaded with scrap blocking bus bay near MG Road Metro Station. Danger to public health and safety.,Public Safety & Police,Civic Safety & Law,Abandoned Vehicle,LOW,LOW,WITHIN 7 DAYS
Gigantic illegal garbage dump burning toxic plastic smoke choking residents near Dilsukhnagar Bus Depot. Kindly take strict and swift civic action.,Public Health & Sanitation,Sanitation & Hygiene,Garbage Burning,HIGH,VERY HIGH,WITHIN 24 HOURS
"Contaminated brown foul-smelling tap water supplied to households near Kukatpally Housing Board, children falling sick.",Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
"Sewage manhole overflowing on street near MG Road Metro Station, black wastewater entering residences. Kindly take strict and swift civic action.",Water Supply & Sewerage,Water & Drainage,Sewage Overflow,HIGH,HIGH,WITHIN 24 HOURS
Dilapidated 3-story residential building structural crack with falling wall debris at Mehdipatnam Bus Stop. This has become an urgent public hazard.,Fire & Emergency Services,Fire & Disaster,Building Collapse Threat,CRITICAL,CRITICAL,IMMEDIATE
"డ్రింకింగ్ వాటర్ లో మురికి నీరు కలిసి వస్తోంది MG Road Metro Station లో, ప్రజలు రోగాల బారిన పడుతున్నారు.",Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
Illegal encroachments blocking emergency fire tender access lane in Koti Women's College market.,Public Safety & Police,Civic Safety & Law,Encroachment,MEDIUM,HIGH,WITHIN 3 DAYS
Dilapidated 3-story residential building structural crack with falling wall debris at Koti Women's College. Pedestrians and daily commuters are suffering badly.,Fire & Emergency Services,Fire & Disaster,Building Collapse Threat,CRITICAL,CRITICAL,IMMEDIATE
"Sewage manhole overflowing on street near Madhapur Police Station junction, black wastewater entering residences. Multiple residents have reported this problem.",Water Supply & Sewerage,Water & Drainage,Sewage Overflow,HIGH,HIGH,WITHIN 24 HOURS
"No municipal water supply for the past 5 days in Kukatpally Housing Board, residents facing severe crisis.",Water Supply & Sewerage,Water & Drainage,Water Shortage,HIGH,HIGH,WITHIN 24 HOURS
Gigantic illegal garbage dump burning toxic plastic smoke choking residents near MG Road Metro Station. Danger to public health and safety.,Public Health & Sanitation,Sanitation & Hygiene,Garbage Burning,HIGH,VERY HIGH,WITHIN 24 HOURS
"డ్రింకింగ్ వాటర్ లో మురికి నీరు కలిసి వస్తోంది Kukatpally Housing Board లో, ప్రజలు రోగాల బారిన పడుతున్నారు. Situation is deteriorating quickly.",Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
"Sewage manhole overflowing on street near Uppal Ring Road, black wastewater entering residences. The municipal corporation needs to inspect and resolve this immediately.",Water Supply & Sewerage,Water & Drainage,Sewage Overflow,HIGH,HIGH,WITHIN 24 HOURS
Illegal encroachments blocking emergency fire tender access lane in Banjara Hills Road No 12 market. This has become an urgent public hazard.,Public Safety & Police,Civic Safety & Law,Encroachment,MEDIUM,HIGH,WITHIN 3 DAYS
Dead stray cattle carcass lying decaying near primary school gate in Madhapur Police Station junction. Danger to public health and safety.,Public Health & Sanitation,Sanitation & Hygiene,Animal Carcass,HIGH,HIGH,WITHIN 24 HOURS
Abandoned rusty vehicle loaded with scrap blocking bus bay near Banjara Hills Road No 12.,Public Safety & Police,Civic Safety & Law,Abandoned Vehicle,LOW,LOW,WITHIN 7 DAYS
ట్రాఫిక్ సిగ్నల్ పనిచేయడం లేదు Mehdipatnam Bus Stop చౌరస్తాలో నిత్యం ప్రమాదాలు జరుగుతున్నాయి. Please send inspection team immediately.,Public Safety & Police,Civic Safety & Law,Traffic Signal Failure,HIGH,VERY HIGH,WITHIN 24 HOURS
Ameerpet Center కే పాస్ కచరే కా ఢేర్ లగా హై ఔర్ బీమారియాన్ ఫైల్ రహి హై. Please send inspection team immediately.,Public Health & Sanitation,Sanitation & Hygiene,Garbage Overflow,MEDIUM,MEDIUM,WITHIN 3 DAYS
Lingampally Market మే నల్ సే గందా బద్బూదార్ పానీ ఆ రహా హై ఔర్ లోగ్ బీమార్ పడ్ రహే హై. Please send inspection team immediately.,Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
Major commercial building fire raging on 3rd floor with people trapped inside at Madhapur Police Station junction. Please send inspection team immediately.,Fire & Emergency Services,Fire & Disaster,Building Fire,CRITICAL,CRITICAL,IMMEDIATE
"Deep open manhole without cover near school in Dilsukhnagar Bus Depot, immediate risk of children falling in. Kindly take strict and swift civic action.",Water Supply & Sewerage,Water & Drainage,Open Manhole,CRITICAL,CRITICAL,IMMEDIATE
Public park swing and slide sets rusted with sharp jagged edges injuring children in Dilsukhnagar Bus Depot. Danger to public health and safety.,Town Planning & Parks,Parks & Urban Planning,Damaged Playground,MEDIUM,MEDIUM,WITHIN 7 DAYS
Electrical transformer caught fire with explosions near Nagole X Roads market area. Multiple residents have reported this problem.,Electricity & Power,Power Infrastructure,Transformer Fire,CRITICAL,CRITICAL,IMMEDIATE
Stagnant black drainage puddle breeding swarms of dengue mosquitoes near Uppal Ring Road.,Public Health & Sanitation,Sanitation & Hygiene,Mosquito Breeding,MEDIUM,MEDIUM,WITHIN 7 DAYS
చెత్త కుప్పలు పేరుకుపోయి దుర్వాసన వస్తోంది Ameerpet Center లో వ్యాధులు ప్రబలుతున్నాయి.,Public Health & Sanitation,Sanitation & Hygiene,Garbage Overflow,MEDIUM,MEDIUM,WITHIN 3 DAYS
"Massive old banyan tree uprooted in storm, crushed two cars and blocked emergency exit at Alwal Main Road.",Fire & Emergency Services,Fire & Disaster,Fallen Tree Hazard,HIGH,VERY HIGH,IMMEDIATE
Gigantic illegal garbage dump burning toxic plastic smoke choking residents near Banjara Hills Road No 12. Multiple residents have reported this problem.,Public Health & Sanitation,Sanitation & Hygiene,Garbage Burning,HIGH,VERY HIGH,WITHIN 24 HOURS
Stagnant black drainage puddle breeding swarms of dengue mosquitoes near Mehdipatnam Bus Stop. This has become an urgent public hazard.,Public Health & Sanitation,Sanitation & Hygiene,Mosquito Breeding,MEDIUM,MEDIUM,WITHIN 7 DAYS
Stagnant black drainage puddle breeding swarms of dengue mosquitoes near Jubilee Hills Check Post.,Public Health & Sanitation,Sanitation & Hygiene,Mosquito Breeding,MEDIUM,MEDIUM,WITHIN 7 DAYS
Illegal encroachments blocking emergency fire tender access lane in Charminar Main Bazaar market. Situation is deteriorating quickly.,Public Safety & Police,Civic Safety & Law,Encroachment,MEDIUM,HIGH,WITHIN 3 DAYS
Main road divider broken and sharp metal protruding into traffic lane near Ameerpet Center. Pedestrians and daily commuters are suffering badly.,Roads & Infrastructure,Road Maintenance,Road Divider,HIGH,HIGH,WITHIN 24 HOURS
Main road divider broken and sharp metal protruding into traffic lane near Lingampally Market. Multiple residents have reported this problem.,Roads & Infrastructure,Road Maintenance,Road Divider,HIGH,HIGH,WITHIN 24 HOURS
Alwal Main Road కే పాస్ ట్రాన్స్‌ఫార్మర్ మే ఆగ్ లగ్ గయీ హై బడా ధమాకా హో సక్తా హై.,Electricity & Power,Power Infrastructure,Transformer Fire,CRITICAL,CRITICAL,IMMEDIATE
Public park swing and slide sets rusted with sharp jagged edges injuring children in Charminar Main Bazaar. Multiple residents have reported this problem.,Town Planning & Parks,Parks & Urban Planning,Damaged Playground,MEDIUM,MEDIUM,WITHIN 7 DAYS
"No municipal water supply for the past 5 days in Gachibowli Flyover, residents facing severe crisis.",Water Supply & Sewerage,Water & Drainage,Water Shortage,HIGH,HIGH,WITHIN 24 HOURS
Open illegal borewell pit left uncovered in RTC Cross Roads vacant plot where small children play. Kindly take strict and swift civic action.,Public Safety & Police,Civic Safety & Law,Open Borewell Pit,CRITICAL,CRITICAL,IMMEDIATE
Abandoned rusty vehicle loaded with scrap blocking bus bay near Uppal Ring Road.,Public Safety & Police,Civic Safety & Law,Abandoned Vehicle,LOW,LOW,WITHIN 7 DAYS
"Sewage manhole overflowing on street near Ameerpet Center, black wastewater entering residences. This has become an urgent public hazard.",Water Supply & Sewerage,Water & Drainage,Sewage Overflow,HIGH,HIGH,WITHIN 24 HOURS
Pothole on main road near Nagole X Roads causing vehicle damage and traffic congestion. Please send inspection team immediately.,Roads & Infrastructure,Road Maintenance,Potholes,MEDIUM,MEDIUM,WITHIN 3 DAYS
Stagnant black drainage puddle breeding swarms of dengue mosquitoes near Koti Women's College. Please send inspection team immediately.,Public Health & Sanitation,Sanitation & Hygiene,Mosquito Breeding,MEDIUM,MEDIUM,WITHIN 7 DAYS
Dilapidated 3-story residential building structural crack with falling wall debris at Koti Women's College.,Fire & Emergency Services,Fire & Disaster,Building Collapse Threat,CRITICAL,CRITICAL,IMMEDIATE
"Massive old banyan tree uprooted in storm, crushed two cars and blocked emergency exit at Koti Women's College. The municipal corporation needs to inspect and resolve this immediately.",Fire & Emergency Services,Fire & Disaster,Fallen Tree Hazard,HIGH,VERY HIGH,IMMEDIATE
Main road divider broken and sharp metal protruding into traffic lane near Nagole X Roads. This has become an urgent public hazard.,Roads & Infrastructure,Road Maintenance,Road Divider,HIGH,HIGH,WITHIN 24 HOURS
Major commercial building fire raging on 3rd floor with people trapped inside at Hitech City Mindspace. This has become an urgent public hazard.,Fire & Emergency Services,Fire & Disaster,Building Fire,CRITICAL,CRITICAL,IMMEDIATE
"Speed breaker not painted with reflective lines near Charminar Main Bazaar, causing dangerous vehicle jumps.",Roads & Infrastructure,Road Maintenance,Speed Breaker,LOW,LOW,WITHIN 7 DAYS
Begumpet Airport Road కే పాస్ ఎల్‌పీజీ సిలిండర్ గోదామ్ సే గ్యాస్ లీకేజ్ హో రహా హై భయంకర పరిస్థితి.,Fire & Emergency Services,Fire & Disaster,Gas Leakage,CRITICAL,CRITICAL,IMMEDIATE
"Dangerous crater-sized road collapse on flyover near Mehdipatnam Bus Stop, vehicles at extreme risk of falling. Kindly take strict and swift civic action.",Roads & Infrastructure,Road Maintenance,Road Collapse,CRITICAL,CRITICAL,IMMEDIATE
Electric pole tilted dangerously at 45 degrees over residential gate in Jubilee Hills Check Post.,Electricity & Power,Power Infrastructure,Tilted Electric Pole,HIGH,HIGH,WITHIN 24 HOURS
Gigantic illegal garbage dump burning toxic plastic smoke choking residents near Charminar Main Bazaar.,Public Health & Sanitation,Sanitation & Hygiene,Garbage Burning,HIGH,VERY HIGH,WITHIN 24 HOURS
Electrical transformer caught fire with explosions near Nagole X Roads market area. Multiple residents have reported this problem.,Electricity & Power,Power Infrastructure,Transformer Fire,CRITICAL,CRITICAL,IMMEDIATE
Stagnant black drainage puddle breeding swarms of dengue mosquitoes near Mehdipatnam Bus Stop.,Public Health & Sanitation,Sanitation & Hygiene,Mosquito Breeding,MEDIUM,MEDIUM,WITHIN 7 DAYS
"Dangerous crater-sized road collapse on flyover near Jubilee Hills Check Post, vehicles at extreme risk of falling. Pedestrians and daily commuters are suffering badly.",Roads & Infrastructure,Road Maintenance,Road Collapse,CRITICAL,CRITICAL,IMMEDIATE
"కరెంట్ వైర్ తెగి రోడ్డుపై పడింది Madhapur Police Station junction లో, నిప్పులు చెరుగుతున్నాయి ప్రాణాపాయం ఉంది. Danger to public health and safety.",Electricity & Power,Power Infrastructure,Live Wire Hazard,CRITICAL,CRITICAL,IMMEDIATE
పార్కులో పిల్లల ఆట స్థలంలో పరికరాలు విరిగిపోయి ప్రమాదకరంగా ఉన్నాయి Alwal Main Road లో.,Town Planning & Parks,Parks & Urban Planning,Damaged Playground,MEDIUM,MEDIUM,WITHIN 7 DAYS
Hazardous biomedical hospital syringes and infected waste dumped openly in Gachibowli Flyover plot.,Public Health & Sanitation,Sanitation & Hygiene,Biomedical Waste,CRITICAL,CRITICAL,IMMEDIATE
High voltage 11kV live electrical wire snapped and lying sparking on flooded road near Banjara Hills Road No 12. This has become an urgent public hazard.,Electricity & Power,Power Infrastructure,Live Wire Hazard,CRITICAL,CRITICAL,IMMEDIATE
Illegal encroachments blocking emergency fire tender access lane in Kukatpally Housing Board market. Situation is deteriorating quickly.,Public Safety & Police,Civic Safety & Law,Encroachment,MEDIUM,HIGH,WITHIN 3 DAYS
Commercial LPG gas cylinder warehouse leakage with heavy gas smell spreading in Lingampally Market. The municipal corporation needs to inspect and resolve this immediately.,Fire & Emergency Services,Fire & Disaster,Gas Leakage,CRITICAL,CRITICAL,IMMEDIATE
Abandoned rusty vehicle loaded with scrap blocking bus bay near Nagole X Roads. Kindly take strict and swift civic action.,Public Safety & Police,Civic Safety & Law,Abandoned Vehicle,LOW,LOW,WITHIN 7 DAYS
Dead stray cattle carcass lying decaying near primary school gate in Nagole X Roads. Kindly take strict and swift civic action.,Public Health & Sanitation,Sanitation & Hygiene,Animal Carcass,HIGH,HIGH,WITHIN 24 HOURS
Mehdipatnam Bus Stop కే పాస్ కచరే కా ఢేర్ లగా హై ఔర్ బీమారియాన్ ఫైల్ రహి హై. Pedestrians and daily commuters are suffering badly.,Public Health & Sanitation,Sanitation & Hygiene,Garbage Overflow,MEDIUM,MEDIUM,WITHIN 3 DAYS
"Drinking water pipe burst near Nagole X Roads, thousands of liters of clean water flooding road. The municipal corporation needs to inspect and resolve this immediately.",Water Supply & Sewerage,Water & Drainage,Pipeline Burst,HIGH,HIGH,WITHIN 24 HOURS
"Public toilet facility choked, leaking sewage onto pavement near Charminar Main Bazaar. This has become an urgent public hazard.",Public Health & Sanitation,Sanitation & Hygiene,Public Toilet Blockage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Open illegal borewell pit left uncovered in Dilsukhnagar Bus Depot vacant plot where small children play. Please send inspection team immediately.,Public Safety & Police,Civic Safety & Law,Open Borewell Pit,CRITICAL,CRITICAL,IMMEDIATE
MG Road Metro Station కే పాస్ సడక్ పర్ గహరే గడ్డే హో గయే హై జిస్సే హాద్సే హో రహే హై. Situation is deteriorating quickly.,Roads & Infrastructure,Road Maintenance,Potholes,HIGH,HIGH,WITHIN 24 HOURS
ట్రాఫిక్ సిగ్నల్ పనిచేయడం లేదు Kukatpally Housing Board చౌరస్తాలో నిత్యం ప్రమాదాలు జరుగుతున్నాయి. Danger to public health and safety.,Public Safety & Police,Civic Safety & Law,Traffic Signal Failure,HIGH,VERY HIGH,WITHIN 24 HOURS
Gigantic illegal garbage dump burning toxic plastic smoke choking residents near RTC Cross Roads.,Public Health & Sanitation,Sanitation & Hygiene,Garbage Burning,HIGH,VERY HIGH,WITHIN 24 HOURS
Major commercial building fire raging on 3rd floor with people trapped inside at Kukatpally Housing Board.,Fire & Emergency Services,Fire & Disaster,Building Fire,CRITICAL,CRITICAL,IMMEDIATE
"Deep open manhole without cover near school in Dilsukhnagar Bus Depot, immediate risk of children falling in.",Water Supply & Sewerage,Water & Drainage,Open Manhole,CRITICAL,CRITICAL,IMMEDIATE
Footpath tiles broken and open construction debris left near Dilsukhnagar Bus Depot.,Roads & Infrastructure,Road Maintenance,Footpath,LOW,LOW,ROUTINE
Major commercial building fire raging on 3rd floor with people trapped inside at Banjara Hills Road No 12. Situation is deteriorating quickly.,Fire & Emergency Services,Fire & Disaster,Building Fire,CRITICAL,CRITICAL,IMMEDIATE
"Traffic signal non-functional at high-speed intersection in Banjara Hills Road No 12, regular near-fatal crashes.",Public Safety & Police,Civic Safety & Law,Traffic Signal Failure,HIGH,VERY HIGH,WITHIN 24 HOURS
Abandoned rusty vehicle loaded with scrap blocking bus bay near Mehdipatnam Bus Stop. Please send inspection team immediately.,Public Safety & Police,Civic Safety & Law,Abandoned Vehicle,LOW,LOW,WITHIN 7 DAYS
పార్కులో పిల్లల ఆట స్థలంలో పరికరాలు విరిగిపోయి ప్రమాదకరంగా ఉన్నాయి Charminar Main Bazaar లో.,Town Planning & Parks,Parks & Urban Planning,Damaged Playground,MEDIUM,MEDIUM,WITHIN 7 DAYS
పార్కులో పిల్లల ఆట స్థలంలో పరికరాలు విరిగిపోయి ప్రమాదకరంగా ఉన్నాయి Banjara Hills Road No 12 లో. The municipal corporation needs to inspect and resolve this immediately.,Town Planning & Parks,Parks & Urban Planning,Damaged Playground,MEDIUM,MEDIUM,WITHIN 7 DAYS
Hazardous biomedical hospital syringes and infected waste dumped openly in RTC Cross Roads plot. The municipal corporation needs to inspect and resolve this immediately.,Public Health & Sanitation,Sanitation & Hygiene,Biomedical Waste,CRITICAL,CRITICAL,IMMEDIATE
