complaint,department,category,subcategory,severity,priority,urgency
Total power blackout in entire sector for more than 14 hours in extreme heat. This has been continuing since yesterday morning.,Electricity,Electricity,Power Outage,HIGH,HIGH,WITHIN 24 HOURS
Wooden electricity pole rotting at the base and leaning heavily towards a house.,Electricity,Electricity,Broken Pole,CRITICAL,URGENT,IMMEDIATE
Wooden electricity pole rotting at the base and leaning heavily towards a house. It is located near Government High School.,Electricity,Electricity,Broken Pole,CRITICAL,URGENT,IMMEDIATE
Wooden electricity pole rotting at the base and leaning heavily towards a house. It is located on MG Road near the railway station.,Electricity,Electricity,Broken Pole,CRITICAL,URGENT,IMMEDIATE
Wooden electricity pole rotting at the base and leaning heavily towards a house. It is located opposite City Hospital main gate.,Electricity,Electricity,Broken Pole,CRITICAL,URGENT,IMMEDIATE
Wooden electricity pole rotting at the base and leaning heavily towards a house. It is located at Sector 4 residential colony.,Electricity,Electricity,Broken Pole,CRITICAL,URGENT,IMMEDIATE
Wooden electricity pole rotting at the base and leaning heavily towards a house. This has been continuing for the past 3 days.,Electricity,Electricity,Broken Pole,CRITICAL,URGENT,IMMEDIATE
Wooden electricity pole rotting at the base and leaning heavily towards a house. This has been continuing since yesterday morning.,Electricity,Electricity,Broken Pole,CRITICAL,URGENT,IMMEDIATE
Frequent severe voltage fluctuations burning home appliances and computers.,Electricity,Electricity,Power Outage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Frequent severe voltage fluctuations burning home appliances and computers. It is located near Government High School.,Electricity,Electricity,Power Outage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Frequent severe voltage fluctuations burning home appliances and computers. It is located on MG Road near the railway station.,Electricity,Electricity,Power Outage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Frequent severe voltage fluctuations burning home appliances and computers. It is located opposite City Hospital main gate.,Electricity,Electricity,Power Outage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Frequent severe voltage fluctuations burning home appliances and computers. It is located at Sector 4 residential colony.,Electricity,Electricity,Power Outage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Frequent severe voltage fluctuations burning home appliances and computers. This has been continuing for the past 3 days.,Electricity,Electricity,Power Outage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Frequent severe voltage fluctuations burning home appliances and computers. This has been continuing since yesterday morning.,Electricity,Electricity,Power Outage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Open fuse box with exposed live 440V copper wires at child height near school.,Electricity,Electricity,Electrical Hazard,CRITICAL,URGENT,IMMEDIATE
Open fuse box with exposed live 440V copper wires at child height near school. It is located near Government High School.,Electricity,Electricity,Electrical Hazard,CRITICAL,URGENT,IMMEDIATE
Open fuse box with exposed live 440V copper wires at child height near school. It is located on MG Road near the railway station.,Electricity,Electricity,Electrical Hazard,CRITICAL,URGENT,IMMEDIATE
Open fuse box with exposed live 440V copper wires at child height near school. It is located opposite City Hospital main gate.,Electricity,Electricity,Electrical Hazard,CRITICAL,URGENT,IMMEDIATE
Open fuse box with exposed live 440V copper wires at child height near school. It is located at Sector 4 residential colony.,Electricity,Electricity,Electrical Hazard,CRITICAL,URGENT,IMMEDIATE
Open fuse box with exposed live 440V copper wires at child height near school. This has been continuing for the past 3 days.,Electricity,Electricity,Electrical Hazard,CRITICAL,URGENT,IMMEDIATE
Open fuse box with exposed live 440V copper wires at child height near school. This has been continuing since yesterday morning.,Electricity,Electricity,Electrical Hazard,CRITICAL,URGENT,IMMEDIATE
Underground power cable damaged during pipeline excavation leaving area dark.,Electricity,Electricity,Damaged Wiring,HIGH,HIGH,WITHIN 24 HOURS
Underground power cable damaged during pipeline excavation leaving area dark. It is located near Government High School.,Electricity,Electricity,Damaged Wiring,HIGH,HIGH,WITHIN 24 HOURS
Underground power cable damaged during pipeline excavation leaving area dark. It is located on MG Road near the railway station.,Electricity,Electricity,Damaged Wiring,HIGH,HIGH,WITHIN 24 HOURS
Underground power cable damaged during pipeline excavation leaving area dark. It is located opposite City Hospital main gate.,Electricity,Electricity,Damaged Wiring,HIGH,HIGH,WITHIN 24 HOURS
Underground power cable damaged during pipeline excavation leaving area dark. It is located at Sector 4 residential colony.,Electricity,Electricity,Damaged Wiring,HIGH,HIGH,WITHIN 24 HOURS
Underground power cable damaged during pipeline excavation leaving area dark. This has been continuing for the past 3 days.,Electricity,Electricity,Damaged Wiring,HIGH,HIGH,WITHIN 24 HOURS
Underground power cable damaged during pipeline excavation leaving area dark. This has been continuing since yesterday morning.,Electricity,Electricity,Damaged Wiring,HIGH,HIGH,WITHIN 24 HOURS
Loose overhead electrical wires sagging low enough to touch top of trucks.,Electricity,Electricity,Damaged Wiring,HIGH,HIGH,WITHIN 24 HOURS
Loose overhead electrical wires sagging low enough to touch top of trucks. It is located near Government High School.,Electricity,Electricity,Damaged Wiring,HIGH,HIGH,WITHIN 24 HOURS
Loose overhead electrical wires sagging low enough to touch top of trucks. It is located on MG Road near the railway station.,Electricity,Electricity,Damaged Wiring,HIGH,HIGH,WITHIN 24 HOURS
Loose overhead electrical wires sagging low enough to touch top of trucks. It is located opposite City Hospital main gate.,Electricity,Electricity,Damaged Wiring,HIGH,HIGH,WITHIN 24 HOURS
Loose overhead electrical wires sagging low enough to touch top of trucks. It is located at Sector 4 residential colony.,Electricity,Electricity,Damaged Wiring,HIGH,HIGH,WITHIN 24 HOURS
Loose overhead electrical wires sagging low enough to touch top of trucks. This has been continuing for the past 3 days.,Electricity,Electricity,Damaged Wiring,HIGH,HIGH,WITHIN 24 HOURS
Loose overhead electrical wires sagging low enough to touch top of trucks. This has been continuing since yesterday morning.,Electricity,Electricity,Damaged Wiring,HIGH,HIGH,WITHIN 24 HOURS
"Street electric junction box cover missing, inside wires exposed to rain.",Electricity,Electricity,Electrical Hazard,HIGH,HIGH,WITHIN 24 HOURS
"Street electric junction box cover missing, inside wires exposed to rain. It is located near Government High School.",Electricity,Electricity,Electrical Hazard,HIGH,HIGH,WITHIN 24 HOURS
"Street electric junction box cover missing, inside wires exposed to rain. It is located on MG Road near the railway station.",Electricity,Electricity,Electrical Hazard,HIGH,HIGH,WITHIN 24 HOURS
"Street electric junction box cover missing, inside wires exposed to rain. It is located opposite City Hospital main gate.",Electricity,Electricity,Electrical Hazard,HIGH,HIGH,WITHIN 24 HOURS
"Street electric junction box cover missing, inside wires exposed to rain. It is located at Sector 4 residential colony.",Electricity,Electricity,Electrical Hazard,HIGH,HIGH,WITHIN 24 HOURS
"Street electric junction box cover missing, inside wires exposed to rain. This has been continuing for the past 3 days.",Electricity,Electricity,Electrical Hazard,HIGH,HIGH,WITHIN 24 HOURS
"Street electric junction box cover missing, inside wires exposed to rain. This has been continuing since yesterday morning.",Electricity,Electricity,Electrical Hazard,HIGH,HIGH,WITHIN 24 HOURS
Electricity meter display glass cracked but power supply running normally.,Electricity,Electricity,Electrical Hazard,LOW,LOW,ROUTINE
Electricity meter display glass cracked but power supply running normally. It is located near Government High School.,Electricity,Electricity,Electrical Hazard,LOW,LOW,ROUTINE
Electricity meter display glass cracked but power supply running normally. It is located on MG Road near the railway station.,Electricity,Electricity,Electrical Hazard,LOW,LOW,ROUTINE
Electricity meter display glass cracked but power supply running normally. It is located opposite City Hospital main gate.,Electricity,Electricity,Electrical Hazard,LOW,LOW,ROUTINE
Electricity meter display glass cracked but power supply running normally. It is located at Sector 4 residential colony.,Electricity,Electricity,Electrical Hazard,LOW,LOW,ROUTINE
Electricity meter display glass cracked but power supply running normally. This has been continuing for the past 3 days.,Electricity,Electricity,Electrical Hazard,LOW,LOW,ROUTINE
Electricity meter display glass cracked but power supply running normally. This has been continuing since yesterday morning.,Electricity,Electricity,Electrical Hazard,LOW,LOW,ROUTINE
Garbage collection truck has not visited our street for two weeks.,Waste Management,Waste Management,Missed Collection,HIGH,HIGH,WITHIN 24 HOURS
Garbage collection truck has not visited our street for two weeks. It is located near Government High School.,Waste Management,Waste Management,Missed Collection,HIGH,HIGH,WITHIN 24 HOURS
Garbage collection truck has not visited our street for two weeks. It is located on MG Road near the railway station.,Waste Management,Waste Management,Missed Collection,HIGH,HIGH,WITHIN 24 HOURS
Garbage collection truck has not visited our street for two weeks. It is located opposite City Hospital main gate.,Waste Management,Waste Management,Missed Collection,HIGH,HIGH,WITHIN 24 HOURS
Garbage collection truck has not visited our street for two weeks. It is located at Sector 4 residential colony.,Waste Management,Waste Management,Missed Collection,HIGH,HIGH,WITHIN 24 HOURS
Garbage collection truck has not visited our street for two weeks. This has been continuing for the past 3 days.,Waste Management,Waste Management,Missed Collection,HIGH,HIGH,WITHIN 24 HOURS
Garbage collection truck has not visited our street for two weeks. This has been continuing since yesterday morning.,Waste Management,Waste Management,Missed Collection,HIGH,HIGH,WITHIN 24 HOURS
Overflowing commercial waste bin spilling rotting food and attracting stray dogs.,Waste Management,Waste Management,Overflowing Bin,HIGH,HIGH,WITHIN 24 HOURS
Overflowing commercial waste bin spilling rotting food and attracting stray dogs. It is located near Government High School.,Waste Management,Waste Management,Overflowing Bin,HIGH,HIGH,WITHIN 24 HOURS
Overflowing commercial waste bin spilling rotting food and attracting stray dogs. It is located on MG Road near the railway station.,Waste Management,Waste Management,Overflowing Bin,HIGH,HIGH,WITHIN 24 HOURS
Overflowing commercial waste bin spilling rotting food and attracting stray dogs. It is located opposite City Hospital main gate.,Waste Management,Waste Management,Overflowing Bin,HIGH,HIGH,WITHIN 24 HOURS
Overflowing commercial waste bin spilling rotting food and attracting stray dogs. It is located at Sector 4 residential colony.,Waste Management,Waste Management,Overflowing Bin,HIGH,HIGH,WITHIN 24 HOURS
Overflowing commercial waste bin spilling rotting food and attracting stray dogs. This has been continuing for the past 3 days.,Waste Management,Waste Management,Overflowing Bin,HIGH,HIGH,WITHIN 24 HOURS
Overflowing commercial waste bin spilling rotting food and attracting stray dogs. This has been continuing since yesterday morning.,Waste Management,Waste Management,Overflowing Bin,HIGH,HIGH,WITHIN 24 HOURS
Illegal dumping of biomedical and chemical waste bags in open municipal plot.,Waste Management,Waste Management,Illegal Dumping,CRITICAL,URGENT,IMMEDIATE
Illegal dumping of biomedical and chemical waste bags in open municipal plot. It is located near Government High School.,Waste Management,Waste Management,Illegal Dumping,CRITICAL,URGENT,IMMEDIATE
Illegal dumping of biomedical and chemical waste bags in open municipal plot. It is located on MG Road near the railway station.,Waste Management,Waste Management,Illegal Dumping,CRITICAL,URGENT,IMMEDIATE
Illegal dumping of biomedical and chemical waste bags in open municipal plot. It is located opposite City Hospital main gate.,Waste Management,Waste Management,Illegal Dumping,CRITICAL,URGENT,IMMEDIATE
Illegal dumping of biomedical and chemical waste bags in open municipal plot. It is located at Sector 4 residential colony.,Waste Management,Waste Management,Illegal Dumping,CRITICAL,URGENT,IMMEDIATE
Illegal dumping of biomedical and chemical waste bags in open municipal plot. This has been continuing for the past 3 days.,Waste Management,Waste Management,Illegal Dumping,CRITICAL,URGENT,IMMEDIATE
Illegal dumping of biomedical and chemical waste bags in open municipal plot. This has been continuing since yesterday morning.,Waste Management,Waste Management,Illegal Dumping,CRITICAL,URGENT,IMMEDIATE
Huge mound of household trash dumped at corner blocking pedestrian walkway.,Waste Management,Waste Management,Garbage Accumulation,MEDIUM,MEDIUM,WITHIN 3 DAYS
Huge mound of household trash dumped at corner blocking pedestrian walkway. It is located near Government High School.,Waste Management,Waste Management,Garbage Accumulation,MEDIUM,MEDIUM,WITHIN 3 DAYS
Huge mound of household trash dumped at corner blocking pedestrian walkway. It is located on MG Road near the railway station.,Waste Management,Waste Management,Garbage Accumulation,MEDIUM,MEDIUM,WITHIN 3 DAYS
Huge mound of household trash dumped at corner blocking pedestrian walkway. It is located opposite City Hospital main gate.,Waste Management,Waste Management,Garbage Accumulation,MEDIUM,MEDIUM,WITHIN 3 DAYS
Huge mound of household trash dumped at corner blocking pedestrian walkway. It is located at Sector 4 residential colony.,Waste Management,Waste Management,Garbage Accumulation,MEDIUM,MEDIUM,WITHIN 3 DAYS
Huge mound of household trash dumped at corner blocking pedestrian walkway. This has been continuing for the past 3 days.,Waste Management,Waste Management,Garbage Accumulation,MEDIUM,MEDIUM,WITHIN 3 DAYS
Huge mound of household trash dumped at corner blocking pedestrian walkway. This has been continuing since yesterday morning.,Waste Management,Waste Management,Garbage Accumulation,MEDIUM,MEDIUM,WITHIN 3 DAYS
Waste disposal workers burning plastic and rubber trash creating toxic fumes.,Waste Management,Waste Management,Illegal Dumping,HIGH,HIGH,WITHIN 24 HOURS
Waste disposal workers burning plastic and rubber trash creating toxic fumes. It is located near Government High School.,Waste Management,Waste Management,Illegal Dumping,HIGH,HIGH,WITHIN 24 HOURS
Waste disposal workers burning plastic and rubber trash creating toxic fumes. It is located on MG Road near the railway station.,Waste Management,Waste Management,Illegal Dumping,HIGH,HIGH,WITHIN 24 HOURS
Waste disposal workers burning plastic and rubber trash creating toxic fumes. It is located opposite City Hospital main gate.,Waste Management,Waste Management,Illegal Dumping,HIGH,HIGH,WITHIN 24 HOURS
Waste disposal workers burning plastic and rubber trash creating toxic fumes. It is located at Sector 4 residential colony.,Waste Management,Waste Management,Illegal Dumping,HIGH,HIGH,WITHIN 24 HOURS
Waste disposal workers burning plastic and rubber trash creating toxic fumes. This has been continuing for the past 3 days.,Waste Management,Waste Management,Illegal Dumping,HIGH,HIGH,WITHIN 24 HOURS
Waste disposal workers burning plastic and rubber trash creating toxic fumes. This has been continuing since yesterday morning.,Waste Management,Waste Management,Illegal Dumping,HIGH,HIGH,WITHIN 24 HOURS
Community green waste container broken and garbage scattered across park.,Waste Management,Waste Management,Overflowing Bin,MEDIUM,MEDIUM,WITHIN 3 DAYS
Community green waste container broken and garbage scattered across park. It is located near Government High School.,Waste Management,Waste Management,Overflowing Bin,MEDIUM,MEDIUM,WITHIN 3 DAYS
Community green waste container broken and garbage scattered across park. It is located on MG Road near the railway station.,Waste Management,Waste Management,Overflowing Bin,MEDIUM,MEDIUM,WITHIN 3 DAYS
Community green waste container broken and garbage scattered across park. It is located opposite City Hospital main gate.,Waste Management,Waste Management,Overflowing Bin,MEDIUM,MEDIUM,WITHIN 3 DAYS
Community green waste container broken and garbage scattered across park. It is located at Sector 4 residential colony.,Waste Management,Waste Management,Overflowing Bin,MEDIUM,MEDIUM,WITHIN 3 DAYS
Community green waste container broken and garbage scattered across park. This has been continuing for the past 3 days.,Waste Management,Waste Management,Overflowing Bin,MEDIUM,MEDIUM,WITHIN 3 DAYS
Community green waste container broken and garbage scattered across park. This has been continuing since yesterday morning.,Waste Management,Waste Management,Overflowing Bin,MEDIUM,MEDIUM,WITHIN 3 DAYS
Construction debris and concrete rubble dumped illegally on lake bed.,Waste Management,Waste Management,Illegal Dumping,HIGH,HIGH,WITHIN 24 HOURS
Construction debris and concrete rubble dumped illegally on lake bed. It is located near Government High School.,Waste Management,Waste Management,Illegal Dumping,HIGH,HIGH,WITHIN 24 HOURS
Construction debris and concrete rubble dumped illegally on lake bed. It is located on MG Road near the railway station.,Waste Management,Waste Management,Illegal Dumping,HIGH,HIGH,WITHIN 24 HOURS
Construction debris and concrete rubble dumped illegally on lake bed. It is located opposite City Hospital main gate.,Waste Management,Waste Management,Illegal Dumping,HIGH,HIGH,WITHIN 24 HOURS
Construction debris and concrete rubble dumped illegally on lake bed. It is located at Sector 4 residential colony.,Waste Management,Waste Management,Illegal Dumping,HIGH,HIGH,WITHIN 24 HOURS
Construction debris and concrete rubble dumped illegally on lake bed. This has been continuing for the past 3 days.,Waste Management,Waste Management,Illegal Dumping,HIGH,HIGH,WITHIN 24 HOURS
Construction debris and concrete rubble dumped illegally on lake bed. This has been continuing since yesterday morning.,Waste Management,Waste Management,Illegal Dumping,HIGH,HIGH,WITHIN 24 HOURS
Litter bins along commercial shopping street full and not cleared since weekend.,Waste Management,Waste Management,Overflowing Bin,LOW,LOW,WITHIN 7 DAYS
Litter bins along commercial shopping street full and not cleared since weekend. It is located near Government High School.,Waste Management,Waste Management,Overflowing Bin,LOW,LOW,WITHIN 7 DAYS
Litter bins along commercial shopping street full and not cleared since weekend. It is located on MG Road near the railway station.,Waste Management,Waste Management,Overflowing Bin,LOW,LOW,WITHIN 7 DAYS
Litter bins along commercial shopping street full and not cleared since weekend. It is located opposite City Hospital main gate.,Waste Management,Waste Management,Overflowing Bin,LOW,LOW,WITHIN 7 DAYS
Litter bins along commercial shopping street full and not cleared since weekend. It is located at Sector 4 residential colony.,Waste Management,Waste Management,Overflowing Bin,LOW,LOW,WITHIN 7 DAYS
Litter bins along commercial shopping street full and not cleared since weekend. This has been continuing for the past 3 days.,Waste Management,Waste Management,Overflowing Bin,LOW,LOW,WITHIN 7 DAYS
Litter bins along commercial shopping street full and not cleared since weekend. This has been continuing since yesterday morning.,Waste Management,Waste Management,Overflowing Bin,LOW,LOW,WITHIN 7 DAYS
A few scattered dry leaves and paper wrappers around park benches.,Waste Management,Waste Management,Garbage Accumulation,LOW,LOW,ROUTINE
A few scattered dry leaves and paper wrappers around park benches. It is located near Government High School.,Waste Management,Waste Management,Garbage Accumulation,LOW,LOW,ROUTINE
A few scattered dry leaves and paper wrappers around park benches. It is located on MG Road near the railway station.,Waste Management,Waste Management,Garbage Accumulation,LOW,LOW,ROUTINE
A few scattered dry leaves and paper wrappers around park benches. It is located opposite City Hospital main gate.,Waste Management,Waste Management,Garbage Accumulation,LOW,LOW,ROUTINE
A few scattered dry leaves and paper wrappers around park benches. It is located at Sector 4 residential colony.,Waste Management,Waste Management,Garbage Accumulation,LOW,LOW,ROUTINE
A few scattered dry leaves and paper wrappers around park benches. This has been continuing for the past 3 days.,Waste Management,Waste Management,Garbage Accumulation,LOW,LOW,ROUTINE
A few scattered dry leaves and paper wrappers around park benches. This has been continuing since yesterday morning.,Waste Management,Waste Management,Garbage Accumulation,LOW,LOW,ROUTINE
Public toilet facility is overflowing with human waste and completely blocked.,Sanitation,Sanitation,Public Toilet Issue,HIGH,HIGH,WITHIN 24 HOURS
Public toilet facility is overflowing with human waste and completely blocked. It is located near Government High School.,Sanitation,Sanitation,Public Toilet Issue,HIGH,HIGH,WITHIN 24 HOURS
Public toilet facility is overflowing with human waste and completely blocked. It is located on MG Road near the railway station.,Sanitation,Sanitation,Public Toilet Issue,HIGH,HIGH,WITHIN 24 HOURS
Public toilet facility is overflowing with human waste and completely blocked. It is located opposite City Hospital main gate.,Sanitation,Sanitation,Public Toilet Issue,HIGH,HIGH,WITHIN 24 HOURS
Public toilet facility is overflowing with human waste and completely blocked. It is located at Sector 4 residential colony.,Sanitation,Sanitation,Public Toilet Issue,HIGH,HIGH,WITHIN 24 HOURS
Public toilet facility is overflowing with human waste and completely blocked. This has been continuing for the past 3 days.,Sanitation,Sanitation,Public Toilet Issue,HIGH,HIGH,WITHIN 24 HOURS
Public toilet facility is overflowing with human waste and completely blocked. This has been continuing since yesterday morning.,Sanitation,Sanitation,Public Toilet Issue,HIGH,HIGH,WITHIN 24 HOURS
Dead stray animal decomposing on the sidewalk emitting unbearable stench.,Sanitation,Sanitation,Dead Animal,HIGH,HIGH,WITHIN 24 HOURS
Dead stray animal decomposing on the sidewalk emitting unbearable stench. It is located near Government High School.,Sanitation,Sanitation,Dead Animal,HIGH,HIGH,WITHIN 24 HOURS
Dead stray animal decomposing on the sidewalk emitting unbearable stench. It is located on MG Road near the railway station.,Sanitation,Sanitation,Dead Animal,HIGH,HIGH,WITHIN 24 HOURS
Dead stray animal decomposing on the sidewalk emitting unbearable stench. It is located opposite City Hospital main gate.,Sanitation,Sanitation,Dead Animal,HIGH,HIGH,WITHIN 24 HOURS
Dead stray animal decomposing on the sidewalk emitting unbearable stench. It is located at Sector 4 residential colony.,Sanitation,Sanitation,Dead Animal,HIGH,HIGH,WITHIN 24 HOURS
Dead stray animal decomposing on the sidewalk emitting unbearable stench. This has been continuing for the past 3 days.,Sanitation,Sanitation,Dead Animal,HIGH,HIGH,WITHIN 24 HOURS
Dead stray animal decomposing on the sidewalk emitting unbearable stench. This has been continuing since yesterday morning.,Sanitation,Sanitation,Dead Animal,HIGH,HIGH,WITHIN 24 HOURS
Severe rodent and cockroach infestation coming from open municipal ditch.,Sanitation,Sanitation,Pest Infestation,MEDIUM,MEDIUM,WITHIN 3 DAYS
Severe rodent and cockroach infestation coming from open municipal ditch. It is located near Government High School.,Sanitation,Sanitation,Pest Infestation,MEDIUM,MEDIUM,WITHIN 3 DAYS
Severe rodent and cockroach infestation coming from open municipal ditch. It is located on MG Road near the railway station.,Sanitation,Sanitation,Pest Infestation,MEDIUM,MEDIUM,WITHIN 3 DAYS
Severe rodent and cockroach infestation coming from open municipal ditch. It is located opposite City Hospital main gate.,Sanitation,Sanitation,Pest Infestation,MEDIUM,MEDIUM,WITHIN 3 DAYS
Severe rodent and cockroach infestation coming from open municipal ditch. It is located at Sector 4 residential colony.,Sanitation,Sanitation,Pest Infestation,MEDIUM,MEDIUM,WITHIN 3 DAYS
Severe rodent and cockroach infestation coming from open municipal ditch. This has been continuing for the past 3 days.,Sanitation,Sanitation,Pest Infestation,MEDIUM,MEDIUM,WITHIN 3 DAYS
Severe rodent and cockroach infestation coming from open municipal ditch. This has been continuing since yesterday morning.,Sanitation,Sanitation,Pest Infestation,MEDIUM,MEDIUM,WITHIN 3 DAYS
Public urinal doors broken and floor covered in stagnant unhygienic water.,Sanitation,Sanitation,Public Toilet Issue,MEDIUM,MEDIUM,WITHIN 7 DAYS
Public urinal doors broken and floor covered in stagnant unhygienic water. It is located near Government High School.,Sanitation,Sanitation,Public Toilet Issue,MEDIUM,MEDIUM,WITHIN 7 DAYS
Public urinal doors broken and floor covered in stagnant unhygienic water. It is located on MG Road near the railway station.,Sanitation,Sanitation,Public Toilet Issue,MEDIUM,MEDIUM,WITHIN 7 DAYS
Public urinal doors broken and floor covered in stagnant unhygienic water. It is located opposite City Hospital main gate.,Sanitation,Sanitation,Public Toilet Issue,MEDIUM,MEDIUM,WITHIN 7 DAYS
Public urinal doors broken and floor covered in stagnant unhygienic water. It is located at Sector 4 residential colony.,Sanitation,Sanitation,Public Toilet Issue,MEDIUM,MEDIUM,WITHIN 7 DAYS
Public urinal doors broken and floor covered in stagnant unhygienic water. This has been continuing for the past 3 days.,Sanitation,Sanitation,Public Toilet Issue,MEDIUM,MEDIUM,WITHIN 7 DAYS
Public urinal doors broken and floor covered in stagnant unhygienic water. This has been continuing since yesterday morning.,Sanitation,Sanitation,Public Toilet Issue,MEDIUM,MEDIUM,WITHIN 7 DAYS
Rotting vegetable waste dumped behind market attracting swarms of flies.,Sanitation,Sanitation,Unsanitary Condition,MEDIUM,MEDIUM,WITHIN 3 DAYS
Rotting vegetable waste dumped behind market attracting swarms of flies. It is located near Government High School.,Sanitation,Sanitation,Unsanitary Condition,MEDIUM,MEDIUM,WITHIN 3 DAYS
Rotting vegetable waste dumped behind market attracting swarms of flies. It is located on MG Road near the railway station.,Sanitation,Sanitation,Unsanitary Condition,MEDIUM,MEDIUM,WITHIN 3 DAYS
Rotting vegetable waste dumped behind market attracting swarms of flies. It is located opposite City Hospital main gate.,Sanitation,Sanitation,Unsanitary Condition,MEDIUM,MEDIUM,WITHIN 3 DAYS
Rotting vegetable waste dumped behind market attracting swarms of flies. It is located at Sector 4 residential colony.,Sanitation,Sanitation,Unsanitary Condition,MEDIUM,MEDIUM,WITHIN 3 DAYS
Rotting vegetable waste dumped behind market attracting swarms of flies. This has been continuing for the past 3 days.,Sanitation,Sanitation,Unsanitary Condition,MEDIUM,MEDIUM,WITHIN 3 DAYS
Rotting vegetable waste dumped behind market attracting swarms of flies. This has been continuing since yesterday morning.,Sanitation,Sanitation,Unsanitary Condition,MEDIUM,MEDIUM,WITHIN 3 DAYS
Dead pig floating in stormwater canal creating terrible health risk.,Sanitation,Sanitation,Dead Animal,CRITICAL,URGENT,IMMEDIATE
Dead pig floating in stormwater canal creating terrible health risk. It is located near Government High School.,Sanitation,Sanitation,Dead Animal,CRITICAL,URGENT,IMMEDIATE
Dead pig floating in stormwater canal creating terrible health risk. It is located on MG Road near the railway station.,Sanitation,Sanitation,Dead Animal,CRITICAL,URGENT,IMMEDIATE
Dead pig floating in stormwater canal creating terrible health risk. It is located opposite City Hospital main gate.,Sanitation,Sanitation,Dead Animal,CRITICAL,URGENT,IMMEDIATE
Dead pig floating in stormwater canal creating terrible health risk. It is located at Sector 4 residential colony.,Sanitation,Sanitation,Dead Animal,CRITICAL,URGENT,IMMEDIATE
Dead pig floating in stormwater canal creating terrible health risk. This has been continuing for the past 3 days.,Sanitation,Sanitation,Dead Animal,CRITICAL,URGENT,IMMEDIATE
Dead pig floating in stormwater canal creating terrible health risk. This has been continuing since yesterday morning.,Sanitation,Sanitation,Dead Animal,CRITICAL,URGENT,IMMEDIATE
Disinfection and sanitization bleaching powder not sprinkled in colony after floods.,Sanitation,Sanitation,Unsanitary Condition,MEDIUM,HIGH,WITHIN 24 HOURS
Disinfection and sanitization bleaching powder not sprinkled in colony after floods. It is located near Government High School.,Sanitation,Sanitation,Unsanitary Condition,MEDIUM,HIGH,WITHIN 24 HOURS
Disinfection and sanitization bleaching powder not sprinkled in colony after floods. It is located on MG Road near the railway station.,Sanitation,Sanitation,Unsanitary Condition,MEDIUM,HIGH,WITHIN 24 HOURS
Disinfection and sanitization bleaching powder not sprinkled in colony after floods. It is located opposite City Hospital main gate.,Sanitation,Sanitation,Unsanitary Condition,MEDIUM,HIGH,WITHIN 24 HOURS
Disinfection and sanitization bleaching powder not sprinkled in colony after floods. It is located at Sector 4 residential colony.,Sanitation,Sanitation,Unsanitary Condition,MEDIUM,HIGH,WITHIN 24 HOURS
Disinfection and sanitization bleaching powder not sprinkled in colony after floods. This has been continuing for the past 3 days.,Sanitation,Sanitation,Unsanitary Condition,MEDIUM,HIGH,WITHIN 24 HOURS
Disinfection and sanitization bleaching powder not sprinkled in colony after floods. This has been continuing since yesterday morning.,Sanitation,Sanitation,Unsanitary Condition,MEDIUM,HIGH,WITHIN 24 HOURS
Public handwashing tap in market basin broken and dirty.,Sanitation,Sanitation,Public Toilet Issue,LOW,LOW,ROUTINE
Public handwashing tap in market basin broken and dirty. It is located near Government High School.,Sanitation,Sanitation,Public Toilet Issue,LOW,LOW,ROUTINE
Public handwashing tap in market basin broken and dirty. It is located on MG Road near the railway station.,Sanitation,Sanitation,Public Toilet Issue,LOW,LOW,ROUTINE
Public handwashing tap in market basin broken and dirty. It is located opposite City Hospital main gate.,Sanitation,Sanitation,Public Toilet Issue,LOW,LOW,ROUTINE
Public handwashing tap in market basin broken and dirty. It is located at Sector 4 residential colony.,Sanitation,Sanitation,Public Toilet Issue,LOW,LOW,ROUTINE
Public handwashing tap in market basin broken and dirty. This has been continuing for the past 3 days.,Sanitation,Sanitation,Public Toilet Issue,LOW,LOW,ROUTINE
Public handwashing tap in market basin broken and dirty. This has been continuing since yesterday morning.,Sanitation,Sanitation,Public Toilet Issue,LOW,LOW,ROUTINE
Stormwater drain completely blocked waterlogging road up to two feet after rain.,Drainage,Drainage,Blocked Drain,HIGH,HIGH,WITHIN 24 HOURS
Stormwater drain completely blocked waterlogging road up to two feet after rain. It is located near Government High School.,Drainage,Drainage,Blocked Drain,HIGH,HIGH,WITHIN 24 HOURS
Stormwater drain completely blocked waterlogging road up to two feet after rain. It is located on MG Road near the railway station.,Drainage,Drainage,Blocked Drain,HIGH,HIGH,WITHIN 24 HOURS
Stormwater drain completely blocked waterlogging road up to two feet after rain. It is located opposite City Hospital main gate.,Drainage,Drainage,Blocked Drain,HIGH,HIGH,WITHIN 24 HOURS
Stormwater drain completely blocked waterlogging road up to two feet after rain. It is located at Sector 4 residential colony.,Drainage,Drainage,Blocked Drain,HIGH,HIGH,WITHIN 24 HOURS
